Venue,latitude,longitude,elevation,geocode_result
"Atlanta, GA (USA) (i)",33.738743,-84.3589885,291.0,"Argos USA, 885, Atlanta, Fulton County, Georgia, 30316, United States"
Roodeport (RSA),,,,NOT FOUND
St-Denis (FRA),45.7685093,7.5562803,1235.0,"Strada Comunale collegamento fra SR 12 e SR 42, Del, Saint-Denis, Valle d'Aosta / Vallée d'Aoste, 11023, Italia"
Uppsala (SWE),59.8461185,17.6828332,12.0,"Swe Mec, Spikgatan, Boländerna, Uppsala, Uppsala kommun, Uppsala län, 753 23, Sverige"
"Olympic Stadium, Sydney (AUS)",-33.8315618,151.226874,89.0,"Aus Play Equipment, Murdoch Street, Cremorne Junction, Cremorne, Lower North Shore, Sydney, North Sydney Council, New South Wales, 2090, Australia"
Malmö (SWE),55.6052931,13.0001566,14.0,NOT FOUND
Helsinki (FIN),60.1839934,24.9589871,0.0,"Fin Budo Best, 34, Hämeentie, Torkkelinmäki, Kallio, Keskinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Manner-Suomi, 00530, Suomi / Finland"
"Stadion Juliska, Praha (CZE)",50.049028,14.3137333,355.0,"Památník obětem 1. a 2. světové války, Kovářova, Stodůlky, Praha, obvod Praha 5, Hlavní město Praha, Praha, 155 00, Česko"
"Palacio de Deportes, Madrid (ESP) (i)",4.7279951,-74.284617,2548.0,"Aguas de La Prosperidad ESP, Carrera 23, Potrero Grande, Madrid, Sabana Occidente, Cundinamarca, RAP (Especial) Central, 250030, Colombia"
Gävle (SWE),60.6750132,17.1467019,0.0,NOT FOUND
Glasgow (GBR) (i),55.861155,-4.2501687,24.0,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom"
"Indianapolis, IN (USA)",39.7683331,-86.1583502,247.0,"Indianapolis, Marion County, Indiana, United States"
Tula (RUS),54.1719056,37.6342303,168.0,"Актио Рус, 118, Оборонная улица, Красный Перекоп, Центральный территориальный округ, Тула, городской округ Тула, Тульская область, Центральный федеральный округ, 300045, Россия"
Göteborg (SWE) (i),57.7072326,11.9670171,8.0,NOT FOUND
"Wattenscheid, Bochum (GER)",51.4818111,7.2196635,96.0,"Bochum, Nordrhein-Westfalen, Deutschland"
"Gottlieb-Daimler Stadion, Stuttgart (GER)",48.7784485,9.1800132,246.0,"Stuttgart, Baden-Württemberg, Deutschland"
Cottbus (GER) (i),51.7567447,14.3357307,74.0,"Cottbus - Chóśebuz, Brandenburg, Deutschland"
Malmö (SWE) (i),55.6052931,13.0001566,14.0,NOT FOUND
"Oval Lingotto, Torino (ITA) (i)",45.0677551,7.6824892,247.0,"Torino, Piemonte, Italia"
Ulm (GER),43.5094916,-0.6565639,110.0,"Base ULM de Mesplède, Route des Pouquets, Claramount, Mesplède, Pau, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64370, France"
Zaragoza (ESP),41.6521342,-0.8809428,215.0,NOT FOUND
Třinec (CZE) (i),49.6779212,18.6711993,309.0,NOT FOUND
Dessau (GER) (i),51.8309956,12.2430723,65.0,"Dessau, Dessau-Roßlau, Sachsen-Anhalt, 06844, Deutschland"
